iteration,signal1,signal2,signal3,signal4,signal5
1,0.939399959,0.211155139,0.320458242,0.984619194,0.544387569
2,0.832807474,0.067190537,0.217275588,0.434716866,0.324860646
3,0.154385089,0.353727937,0.477667238,0.196637025,0.739914876
4,0.810171807,0.165086714,0.63606252,0.037325689,0.608043409
5,0.228463273,0.990970663,0.017162527,0.085704958,0.069179725
6,0.068788196,0.770476994,0.326370775,0.960895088,0.245392817
7,0.863598133,0.263001966,0.695082211,0.494020541,0.353266875
8,0.109517202,0.071234504,0.871401515,0.958918777,0.266569317
9,0.124186632,0.225936287,0.273561335,0.59675753,0.119646842
10,0.027470765,0.195826309,0.463501322,0.028469903,0.447600567
11,0.402396303,0.189996169,0.661989369,0.432115279,0.923427947
12,0.857157696,0.726965904,0.061194009,0.554617106,0.695834079
13,0.715388122,0.153052375,0.660883103,0.736625757,0.471562666
14,0.968723748,0.57653422,0.418430067,0.972374093,0.457631771
15,0.453417727,0.923670296,0.98735725,0.437392617,0.602602765
16,0.732165262,0.381335785,0.014452388,0.644098235,0.785881701
17,0.982769574,0.892395424,0.219583097,0.847633023,0.658615673
18,0.282993565,0.552660257,0.597227567,0.943194647,0.280561866
19,0.908976039,0.775973924,0.250708985,0.340820027,0.955538876
20,0.220229691,0.713252501,0.713595557,0.916469599,0.68887204
21,0.646416435,0.629402937,0.603031642,0.626831062,0.454247709
22,0.319171671,0.947864395,0.173582534,0.529891691,0.478401514
23,0.459896081,0.807368388,0.080229519,0.396404424,0.296505794
24,0.24747796,0.430312657,0.698682248,0.916711186,0.335658871
25,0.698215887,0.630751873,0.799942313,0.554451811,0.722199997
26,0.133889259,0.778869213,0.404403663,0.8833036,0.580607992
27,0.185463278,0.859183667,0.912345707,0.551175921,0.090307191
28,0.887917087,0.985657088,0.514336706,0.54707467,0.130349099
29,0.140558739,0.444585846,0.812907899,0.673829009,0.649510248
30,0.723790025,0.693985358,0.997341177,0.86394589,0.652438231
31,0.295643104,0.707846704,0.002345194,0.807756599,0.247133098
32,0.769847782,0.456968795,0.769603264,0.114676629,0.810019226
33,0.946683956,0.390939318,0.724755748,0.574595123,0.543494429
34,0.60795584,0.928204197,0.036436082,0.424136936,0.728672713
35,0.403645821,0.402746816,0.12971609,0.56876455,0.683351619
36,0.092978642,0.926293698,0.836815292,0.470574054,0.128735304
37,0.343983782,0.677049662,0.597221975,0.824930133,0.483944106
38,0.616031866,0.760509871,0.344929225,0.976924479,0.634026654
39,0.55054808,0.237651032,0.079814602,0.728098048,0.429956801
40,0.166057878,0.396478694,0.488158507,0.042542432,0.462501955
41,0.159818852,0.953613773,0.841080663,0.764530311,0.832754981
42,0.281687423,0.410244634,0.854320751,0.65990013,0.757914041
43,0.098581023,0.543964744,0.661079548,0.686957565,0.525639964
44,0.151245867,0.889806142,0.350130074,0.784765768,0.182028185
45,0.618365221,0.411528693,0.927738776,0.153346812,0.626682817
46,0.31352792,0.929347385,0.204323819,0.350752273,0.807796805
47,0.137922553,0.880547462,0.427184127,0.660944921,0.968678998
48,0.149228841,0.181936344,0.69784968,0.826348696,0.431326307
49,0.485636095,0.403461285,0.720799584,0.89959196,0.548783111
50,0.403054875,0.660320125,0.318820348,0.130224105,0.334895051
